block,process,cell,method,phase,iteration,position,seconds,output_sha256
primary,0,k16,F16,retained,3,1,0.07418755299295299,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,retained,4,0,0.07418205800058786,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,4,1,0.06967636400077026,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,5,0,0.06959660699067172,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,retained,5,1,0.07431399601045996,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k64,F8,warmup,0,0,0.14895751400035806,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,warmup,0,1,0.16034891399613116,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,warmup,1,0,0.16057946800719947,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,warmup,1,1,0.1569562390068313,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,0,0,0.15541550300258677,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,0,1,0.15943992498796433,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,1,0,0.15917435099254362,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,1,1,0.15683345300203655,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,2,0,0.1560085329983849,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,2,1,0.15930034600023646,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,3,0,0.15970001900859643,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,3,1,0.1578525160002755,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,4,0,0.1564758409949718,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,4,1,0.1596746040013386,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,retained,5,0,0.15914875999442302,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,retained,5,1,0.15757627099810634,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,original,F16,warmup,0,0,0.16380783999920823,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,warmup,0,1,0.1581628090061713,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,warmup,1,0,0.15832890498859342,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,warmup,1,1,0.16059599799336866,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,0,0,0.1610042280080961,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,0,1,0.15834274899680167,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,1,0,0.15857153199613094,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,1,1,0.16017493199615274,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,2,0,0.1605945810006233,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,2,1,0.15786798199405894,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,3,0,0.15809886998613365,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,3,1,0.1603154269978404,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,4,0,0.16036861800239421,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,4,1,0.15867670300940517,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,retained,5,0,0.15845616300066467,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,retained,5,1,0.16088775100070052,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,k256,F8,warmup,0,0,0.5686923039902467,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,warmup,0,1,0.5612216570007149,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,warmup,1,0,0.5618598009896232,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,warmup,1,1,0.5680560239998158,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,0,0,0.5652507339982549,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
