cell,method,process,repetition,query_seconds,output_count,output_sha256,peak_allocated_bytes,peak_reserved_bytes,output_finalize_seconds,batches
k256,project64,0,3,0.12378400599118322,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,975213568,1119879168,0.07121011699200608,87
k256,packed16,0,0,0.12771354599681217,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,1031367680,1166016512,0.07135905198811088,78
k256,packed16,0,1,0.12387931800913066,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,1031367680,1166016512,0.07190024199371692,78
k256,packed16,0,2,0.12658169300993904,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,1031367680,1166016512,0.07186843400995713,78
k256,packed16,0,3,0.12194377099513076,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,1031367680,1166016512,0.0717541890044231,78
k256,sequential,0,0,0.1275868100055959,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07174321298953146,108
k256,sequential,0,1,0.12828857600106858,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07252473400149029,108
k256,sequential,0,2,0.12847504400997423,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07227775899809785,108
k256,sequential,0,3,0.12663805999909528,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07074414999806322,108
k256,pipeline,0,0,0.1475668890052475,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07782535499427468,108
k256,pipeline,0,1,0.13468573699356057,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07203451001259964,108
k256,pipeline,0,2,0.1339680589881027,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07145133199810516,108
k256,pipeline,0,3,0.133554294006899,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07110042299609631,108
k256,draft_serial,0,0,0.13187998000648804,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07271687299362384,108
k256,draft_serial,0,1,0.1418071280058939,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07878512000024784,108
k256,draft_serial,0,2,0.1287691229954362,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07152652900549583,108
k256,draft_serial,0,3,0.1279389720002655,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07071584698860534,108
k256,speculative,0,0,0.14273822501127142,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07172555099532474,108
k256,speculative,0,1,0.15850601199781522,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.08590803798870184,108
k256,speculative,0,2,0.13450489500246476,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07119823500397615,108
k256,speculative,0,3,0.13788335700519383,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,983168000,1136656384,0.07138261799991596,108
k1024,original_full,0,0,0.34545244500623085,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2088335872,2600468480,0.28378973199869506,108
k1024,original_full,0,1,0.34802124500856735,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2088335872,2600468480,0.2860396670002956,108
k1024,original_full,0,2,0.3435424180061091,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2088335872,2600468480,0.2820628040062729,108
k1024,original_full,0,3,0.34394372400129214,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2088335872,2600468480,0.28252868200070225,108
k1024,project64,0,0,0.3440968619979685,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2090067968,2596274176,0.28458184099872597,93
k1024,project64,0,1,0.35199518100125715,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2090067968,2596274176,0.2849183470098069,93
