layout,size,cell,threshold,family,blocks,pairs,positive_pairs,oracle_empty_blocks,oracle_full_blocks,oracle_resolved_fraction,rejected_blocks,accepted_blocks,resolved_fraction,resolved_pair_fraction,rejected_pairs,accepted_pairs,empty_block_recall,ordering_seconds,pivot_preprocessing_seconds,metadata_seconds,bound_seconds,false_reject_blocks,false_accept_blocks
original,64,k64,0.39460235834121704,box,440391,1800030000,1961499,30246,0,0.06867987765417549,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,k64,0.39460235834121704,sphere,440391,1800030000,1961499,30246,0,0.06867987765417549,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,k64,0.39460235834121704,pivot,440391,1800030000,1961499,30246,0,0.06867987765417549,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,k64,0.39460235834121704,combined,440391,1800030000,1961499,30246,0,0.06867987765417549,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
original,64,original,0.3955230712890625,box,440391,1800030000,1993039,29176,0,0.06625021855578338,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,original,0.3955230712890625,sphere,440391,1800030000,1993039,29176,0,0.06625021855578338,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,original,0.3955230712890625,pivot,440391,1800030000,1993039,29176,0,0.06625021855578338,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,original,0.3955230712890625,combined,440391,1800030000,1993039,29176,0,0.06625021855578338,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
original,64,k256,0.4787180423736572,box,440391,1800030000,7744714,133,0,0.0003020043552207016,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,k256,0.4787180423736572,sphere,440391,1800030000,7744714,133,0,0.0003020043552207016,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,k256,0.4787180423736572,pivot,440391,1800030000,7744714,133,0,0.0003020043552207016,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,k256,0.4787180423736572,combined,440391,1800030000,7744714,133,0,0.0003020043552207016,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
