block,process,cell,method,output_mode,phase,iteration,position,seconds,output_finalize_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,peak_allocated_bytes,peak_reserved_bytes,output_sha256
primary,0,original,F8,gpu_radix,retained,2,0,0.06834282899217214,0.015250079988618381,31408624,15944312,32606975,699397120,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,legacy,retained,2,1,0.159077588992659,0.09721493200049736,15944312,0,0,602064896,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,legacy,retained,3,0,0.15901416500855703,0.09665381599916145,15944312,0,0,602064896,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,gpu_radix,retained,3,1,0.06896104098996148,0.015528760006418452,31408624,15944312,32606975,699397120,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,legacy,warmup,0,0,0.1644113619986456,0.09682475800218526,15944312,0,0,600830464,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,gpu_radix,warmup,0,1,0.07124858199676964,0.0152869540033862,31408624,15944312,32606975,698162688,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,legacy,retained,0,0,0.16122333401290234,0.09685693400388118,15944312,0,0,600830464,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,gpu_radix,retained,0,1,0.07143519999226555,0.015462044990272261,31408624,15944312,32606975,698162688,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,gpu_radix,retained,1,0,0.071254772003158,0.015279080995242111,31408624,15944312,32606975,698162688,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,legacy,retained,1,1,0.16088052799750585,0.09699368898873217,15944312,0,0,600830464,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,legacy,retained,2,0,0.1615091109997593,0.09699331699812319,15944312,0,0,600830464,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,gpu_radix,retained,2,1,0.07155015900207218,0.015534026999375783,31408624,15944312,32606975,698162688,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,gpu_radix,retained,3,0,0.0708146620017942,0.015190521007752977,31408624,15944312,32606975,698162688,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F16,legacy,retained,3,1,0.16079587599961087,0.09704239899292588,15944312,0,0,600830464,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,gpu_radix,warmup,0,0,0.15030844500870444,0.01910901600786019,31408624,15944312,32606975,566569984,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,legacy,warmup,0,1,0.23825733100238722,0.0970386000117287,15944312,0,0,469237760,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
