process,method_order,inner_seconds,seconds,hash,count,layout,method,phase,iteration
1,16_8,0.1620160809980007,0.24712129900581203,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,6
1,16_8,0.17098764900583774,0.2560962269999436,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,warmup,0
1,16_8,0.15988229399954434,0.24491668999689864,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,warmup,1
1,16_8,0.16110947899869643,0.24593648700101767,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,0
1,16_8,0.15806302599958144,0.2426993359986227,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,1
1,16_8,0.15762134100077674,0.2423738079960458,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,2
1,16_8,0.1582919819993549,0.24281923999660648,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,3
1,16_8,0.1583213340054499,0.24316569999791682,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,4
1,16_8,0.15948013200249989,0.2441298010016908,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,5
1,16_8,0.15986197399615776,0.24512593600229593,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F8,retained,6
1,16_8,0.16725767699972494,0.2523874680045992,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,warmup,0
1,16_8,0.16190548200393096,0.24651617900235578,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,warmup,1
1,16_8,0.163537330001418,0.2486223629966844,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,0
1,16_8,0.16179026299505495,0.2464747880003415,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,1
1,16_8,0.16193735900014872,0.24834987299982458,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,2
1,16_8,0.16182536099950084,0.24738538000383414,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,3
1,16_8,0.16283268500410486,0.24775312100246083,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,4
1,16_8,0.16183894999994664,0.24698266299674287,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,5
1,16_8,0.16188949599745683,0.24688384999899426,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F16,retained,6
1,16_8,0.1604578200058313,0.24532552599703195,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,interleaved,F8,warmup,0
