layout,kind,cell,full_offdiag_occupied_tiles,candidate_count_quantiles,candidate_density_median,few6_fraction,few16_fraction,few64_fraction,oracle_empty_survivor_tiles,oracle_empty_candidate_count_quantiles,oracle_empty_few64_fraction,active_rows_quantiles,active_cols_quantiles,cover8_fraction,cover16_fraction,both_full64_fraction,oracle_empty_cover8_fraction,sparse_exception_gate
random,r16,original,438516,"[603.0, 915.0, 986.0, 1060.0, 1130.0, 1260.0, 1703.0]",0.24072265625,0.0,0.0,0.0,30322,"[624.0, 927.0, 998.0, 1075.0, 1151.0, 1295.0, 1583.0]",0.0,"[55.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[56.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.09070136551459924,0.0,False
random,r16,k256,438516,"[1010.0, 1433.0, 1521.0, 1612.0, 1697.0, 1854.0, 2335.0]",0.371337890625,0.0,0.0,0.0,120,"[1267.0, 1444.5, 1531.5, 1640.0, 1712.2, 1897.2400000000002, 1994.0]",0.0,"[58.0, 63.0, 64.0, 64.0, 64.0, 64.0, 64.0]","[59.0, 63.0, 64.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.47385956270694796,0.0,False
random,r16,k1024,438516,"[1577.0, 2045.0, 2141.0, 2240.0, 2331.0, 2497.0, 2899.0]",0.522705078125,0.0,0.0,0.0,0,,,"[61.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0]","[60.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.7940668071404464,,False
random,r32,k4,438516,"[3.0, 31.0, 39.0, 47.0, 56.0, 74.0, 119.0]",0.009521484375,1.5962929516824927e-05,0.007525381057931752,0.9646808782347737,347988,"[3.0, 31.0, 38.0, 47.0, 55.0, 73.0, 119.0]",0.9672258813522305,"[3.0, 18.0, 21.0, 24.0, 26.0, 31.0, 40.0]","[3.0, 18.0, 21.0, 24.0, 26.0, 31.0, 43.0]",0.000982860374535935,0.20038721506170812,0.0,0.0011753278848695933,True
random,r32,k16,438516,"[41.0, 107.0, 125.0, 145.0, 165.0, 204.0, 290.0]",0.030517578125,0.0,0.0,0.0027045763438506235,194198,"[43.0, 105.0, 123.0, 143.0, 163.0, 201.0, 290.0]",0.0034500870245831572,"[17.0, 37.0, 39.0, 42.0, 45.0, 49.0, 57.0]","[20.0, 37.0, 39.0, 42.0, 45.0, 49.0, 57.0]",0.0,0.0,0.0,0.0,False
random,r32,k64,438516,"[147.0, 284.0, 320.0, 358.0, 396.0, 466.0, 668.0]",0.078125,0.0,0.0,0.0,31472,"[149.0, 276.0, 311.0, 349.0, 386.0, 457.0, 634.0]",0.0,"[37.0, 51.0, 53.0, 55.0, 57.0, 60.0, 64.0]","[37.0, 51.0, 53.0, 55.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
random,r32,original,438516,"[148.0, 287.0, 323.0, 362.0, 400.0, 470.0, 677.0]",0.078857421875,0.0,0.0,0.0,30322,"[151.0, 278.0, 314.0, 352.0, 389.0, 462.0, 635.0]",0.0,"[37.0, 52.0, 54.0, 56.0, 57.0, 60.0, 64.0]","[37.0, 51.0, 54.0, 56.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
random,r32,k256,438516,"[362.0, 628.0, 688.0, 752.0, 812.0, 922.0, 1261.0]",0.16796875,0.0,0.0,0.0,120,"[466.0, 579.5, 640.0, 700.5, 761.4000000000001, 832.0, 870.0]",0.0,"[50.0, 59.0, 61.0, 62.0, 63.0, 64.0, 64.0]","[49.0, 59.0, 61.0, 62.0, 63.0, 64.0, 64.0]",0.0,0.0,0.0011675742732306232,0.0,False
random,r32,k1024,438516,"[774.0, 1181.0, 1266.0, 1353.0, 1434.0, 1582.0, 2057.0]",0.30908203125,0.0,0.0,0.0,0,,,"[55.0, 63.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[56.0, 63.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.16154712712877067,,False
random,r64,k4,417479,"[1.0, 2.0, 4.0, 6.0, 8.0, 13.0, 30.0]",0.0009765625,0.8231408046871819,0.9985388486606512,1.0,326951,"[1.0, 2.0, 3.0, 5.0, 7.0, 11.0, 27.0]",1.0,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0]","[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0]",0.9954273149068575,1.0,0.0,0.9975929114760316,True
