process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
0,1,k1024,F16,layout_full,0.34335150399419945,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F16,geometric,0.34074399899691343,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F16,original_full,0.3431044210010441,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F16,layout_full,0.34288470199680887,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F8,geometric,0.3754338930011727,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F8,original_full,0.37800344900460914,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,2,k1024,F8,layout_full,0.37516933800361585,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,3,k1024,F8,geometric,0.3754071799921803,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,3,k1024,F8,layout_full,0.3762227020051796,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,3,k1024,F8,original_full,0.37772182701155543,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,3,k1024,F16,geometric,0.33976212999550626,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,3,k1024,F16,layout_full,0.3410978960018838,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
